"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","168.95.246.4","192.168.1.233","ICMP","58","Echo (ping) reply    id=0x0002, seq=39058/37528, ttl=51"
"2","0.028818","192.168.1.233","74.125.205.113","TCP","55","50833  >  443 [ACK] Seq=1 Ack=1 Win=508 Len=1 [TCP segment of a reassembled PDU]"
"3","0.058468","74.125.205.113","192.168.1.233","TCP","66","443  >  50833 [ACK] Seq=1 Ack=2 Win=791 Len=0 SLE=1 SRE=2"
"4","1.001041","192.168.1.233","168.95.246.4","ICMP","58","Echo (ping) request  id=0x0002, seq=39059/37784, ttl=255 (reply in 5)"
"5","1.210536","168.95.246.4","192.168.1.233","ICMP","58","Echo (ping) reply    id=0x0002, seq=39059/37784, ttl=51 (request in 4)"
"6","1.686101","192.168.1.8","224.0.0.251","MDNS","184","Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR iPad \320\220\320\275\320\270\321\200\320\260\320\224._companion-link._tcp.local OPT"
"7","1.686101","192.168.1.140","192.168.1.255","UDP","309","39191  >  20002 Len=267"
"8","1.686101","192.168.1.121","224.0.0.251","MDNS","235","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question PTR _airplay._tcp.local, ""QU"" question PTR _raop._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question ANY iPhone 11._rdlink._tcp.local, ""QU"" question SRV 0 0 49153 iPhone-11.local OPT"
"9","1.893657","192.168.1.121","224.0.0.251","MDNS","354","Standard query response 0x0000 PTR _rdlink._tcp.local TXT PTR, cache flush iPhone-11.local PTR, cache flush iPhone-11.local NSEC, cache flush F.4.A.7.1.8.8.B.3.0.5.8.1.2.C.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 121.1.168.192.in-addr.arpa OPT"
"10","1.986294","192.168.1.121","224.0.0.251","MDNS","147","Standard query 0x0000 ANY iPhone 11._rdlink._tcp.local, ""QM"" question SRV 0 0 49153 iPhone-11.local OPT"
"11","2.211501","192.168.1.233","168.95.246.4","ICMP","58","Echo (ping) request  id=0x0002, seq=39060/38040, ttl=255 (reply in 21)"
"12","2.274766","87.240.129.129","192.168.1.233","TLSv1.2","405","Application Data"
"13","2.277603","192.168.1.233","87.240.129.129","TLSv1.2","133","Application Data"
"14","2.277656","192.168.1.233","87.240.129.129","TLSv1.2","163","Application Data"
"15","2.299564","192.168.1.121","224.0.0.251","MDNS","148","Standard query 0x0000 ANY iPhone-11.local, ""QU"" question AAAA fe80::1c21:8503:b881:7a4f A 192.168.1.121 OPT"
"16","2.299564","192.168.1.121","224.0.0.251","MDNS","147","Standard query 0x0000 ANY iPhone 11._rdlink._tcp.local, ""QM"" question SRV 0 0 49153 iPhone-11.local OPT"
"17","2.299734","87.240.129.129","192.168.1.233","TCP","60","443  >  64647 [ACK] Seq=352 Ack=80 Win=83 Len=0"
"18","2.299734","87.240.129.129","192.168.1.233","TCP","60","443  >  64647 [ACK] Seq=352 Ack=189 Win=83 Len=0"
"19","2.299734","87.240.129.129","192.168.1.233","TLSv1.2","89","Application Data"
"20","2.352472","192.168.1.233","87.240.129.129","TCP","54","64647  >  443 [ACK] Seq=189 Ack=387 Win=509 Len=0"
"21","2.429462","168.95.246.4","192.168.1.233","ICMP","58","Echo (ping) reply    id=0x0002, seq=39060/38040, ttl=51 (request in 11)"
"22","2.608818","192.168.1.121","224.0.0.251","MDNS","148","Standard query 0x0000 ANY iPhone-11.local, ""QM"" question AAAA fe80::1c21:8503:b881:7a4f A 192.168.1.121 OPT"
"23","2.608818","192.168.1.121","224.0.0.251","MDNS","289","Standard query response 0x0000 TXT, cache flush PTR iPhone 11._rdlink._tcp.local TXT SRV, cache flush 0 0 49153 iPhone-11.local NSEC, cache flush iPhone 11._rdlink._tcp.local OPT"
"24","2.608818","192.168.1.121","224.0.0.251","MDNS","148","Standard query 0x0000 ANY iPhone-11.local, ""QM"" question AAAA fe80::1c21:8503:b881:7a4f A 192.168.1.121 OPT"
"25","2.705050","192.168.1.121","224.0.0.251","MDNS","306","Standard query response 0x0000 PTR _rdlink._tcp.local PTR, cache flush iPhone-11.local PTR, cache flush iPhone-11.local NSEC, cache flush F.4.A.7.1.8.8.B.3.0.5.8.1.2.C.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 121.1.168.192.in-addr.arpa OPT"
"26","2.945392","192.168.1.233","157.240.205.60","TLSv1.2","124","Application Data"
"27","2.974715","157.240.205.60","192.168.1.233","TCP","60","443  >  64568 [ACK] Seq=1 Ack=71 Win=357 Len=0"
"28","3.091129","157.240.205.60","192.168.1.233","TLSv1.2","126","Application Data"
"29","3.131035","192.168.1.233","149.154.167.50","SSL","319","Continuation Data"
"30","3.131920","192.168.1.233","157.240.205.60","TCP","54","64568  >  443 [ACK] Seq=71 Ack=73 Win=514 Len=0"
"31","3.180626","149.154.167.50","192.168.1.233","TCP","60","443  >  64620 [ACK] Seq=1 Ack=266 Win=15273 Len=0"
"32","3.180626","149.154.167.50","192.168.1.233","SSL","143","Continuation Data"
"33","3.225045","192.168.1.233","149.154.167.50","TCP","54","64620  >  443 [ACK] Seq=266 Ack=90 Win=509 Len=0"
"34","3.430666","192.168.1.233","168.95.246.4","ICMP","58","Echo (ping) request  id=0x0002, seq=39061/38296, ttl=255 (reply in 36)"
"35","3.531557","192.168.1.121","224.0.0.251","MDNS","213","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _airplay._tcp.local, ""QM"" question PTR _raop._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR iPad \320\220\320\275\320\270\321\200\320\260\320\224._companion-link._tcp.local OPT"
"36","3.634498","168.95.246.4","192.168.1.233","ICMP","58","Echo (ping) reply    id=0x0002, seq=39061/38296, ttl=51 (request in 34)"
"37","4.128540","192.168.1.233","162.247.241.14","TCP","55","52022  >  443 [ACK] Seq=1 Ack=1 Win=509 Len=1 [TCP segment of a reassembled PDU]"
"38","4.145894","162.247.241.14","192.168.1.233","TCP","66","443  >  52022 [ACK] Seq=1 Ack=2 Win=8 Len=0 SLE=1 SRE=2"
"39","4.635261","192.168.1.233","168.95.246.4","ICMP","58","Echo (ping) request  id=0x0002, seq=39062/38552, ttl=255 (reply in 43)"
"40","4.759271","192.168.1.121","224.0.0.251","MDNS","162","Standard query response 0x0000 AAAA, cache flush fe80::1c21:8503:b881:7a4f A, cache flush 192.168.1.121 NSEC, cache flush iPhone-11.local OPT"
"41","4.759271","192.168.1.121","224.0.0.251","MDNS","353","Standard query response 0x0000 TXT, cache flush PTR iPhone 11._rdlink._tcp.local TXT SRV, cache flush 0 0 49153 iPhone-11.local AAAA, cache flush fe80::1c21:8503:b881:7a4f A, cache flush 192.168.1.121 NSEC, cache flush iPhone 11._rdlink._tcp.local NSEC, cache flush iPhone-11.local OPT"
